contract_id,proposal_id,customer_id,installment_number,due_date,amount_due
CT0000001,PR000001,C00028,1,2024-12-10,1431.88
CT0000001,PR000001,C00028,2,2025-01-10,1431.88
CT0000001,PR000001,C00028,3,2025-02-10,1431.88
CT0000001,PR000001,C00028,4,2025-03-10,1431.88
CT0000001,PR000001,C00028,5,2025-04-10,1431.88
CT0000001,PR000001,C00028,6,2025-05-10,1431.88
CT0000001,PR000001,C00028,7,2025-06-10,1431.88
CT0000001,PR000001,C00028,8,2025-07-10,1431.88
CT0000001,PR000001,C00028,9,2025-08-10,1431.88
CT0000001,PR000001,C00028,10,2025-09-10,1431.88
CT0000001,PR000001,C00028,11,2025-10-10,1431.88
CT0000001,PR000001,C00028,12,2025-11-10,1431.88
CT0000002,PR000003,C00333,1,2024-09-26,294.19
CT0000002,PR000003,C00333,2,2024-10-26,294.19
CT0000002,PR000003,C00333,3,2024-11-26,294.19
CT0000002,PR000003,C00333,4,2024-12-26,294.19
CT0000002,PR000003,C00333,5,2025-01-26,294.19
CT0000002,PR000003,C00333,6,2025-02-26,294.19
CT0000002,PR000003,C00333,7,2025-03-26,294.19
CT0000002,PR000003,C00333,8,2025-04-26,294.19
CT0000002,PR000003,C00333,9,2025-05-26,294.19
CT0000002,PR000003,C00333,10,2025-06-26,294.19
CT0000002,PR000003,C00333,11,2025-07-26,294.19
CT0000002,PR000003,C00333,12,2025-08-26,294.19
CT0000002,PR000003,C00333,13,2025-09-26,294.19
CT0000002,PR000003,C00333,14,2025-10-26,294.19
CT0000002,PR000003,C00333,15,2025-11-26,294.19
CT0000002,PR000003,C00333,16,2025-12-26,294.19
CT0000002,PR000003,C00333,17,2026-01-26,294.19
CT0000002,PR000003,C00333,18,2026-02-26,294.19
CT0000002,PR000003,C00333,19,2026-03-26,294.19
CT0000002,PR000003,C00333,20,2026-04-26,294.19
CT0000002,PR000003,C00333,21,2026-05-26,294.19
CT0000002,PR000003,C00333,22,2026-06-26,294.19
CT0000002,PR000003,C00333,23,2026-07-26,294.19
CT0000002,PR000003,C00333,24,2026-08-26,294.19
CT0000002,PR000003,C00333,25,2026-09-26,294.19
CT0000002,PR000003,C00333,26,2026-10-26,294.19
CT0000002,PR000003,C00333,27,2026-11-26,294.19
CT0000002,PR000003,C00333,28,2026-12-26,294.19
CT0000002,PR000003,C00333,29,2027-01-26,294.19
CT0000002,PR000003,C00333,30,2027-02-26,294.19
CT0000002,PR000003,C00333,31,2027-03-26,294.19
CT0000002,PR000003,C00333,32,2027-04-26,294.19
CT0000002,PR000003,C00333,33,2027-05-26,294.19
CT0000002,PR000003,C00333,34,2027-06-26,294.19
CT0000002,PR000003,C00333,35,2027-07-26,294.19
CT0000002,PR000003,C00333,36,2027-08-26,294.19
CT0000003,PR000007,C00411,1,2024-05-30,1105.61
CT0000003,PR000007,C00411,2,2024-06-30,1105.61
CT0000003,PR000007,C00411,3,2024-07-30,1105.61
CT0000003,PR000007,C00411,4,2024-08-30,1105.61
CT0000003,PR000007,C00411,5,2024-09-30,1105.61
CT0000003,PR000007,C00411,6,2024-10-30,1105.61
CT0000003,PR000007,C00411,7,2024-11-30,1105.61
CT0000003,PR000007,C00411,8,2024-12-30,1105.61
CT0000003,PR000007,C00411,9,2025-01-30,1105.61
CT0000003,PR000007,C00411,10,2025-02-28,1105.61
CT0000003,PR000007,C00411,11,2025-03-30,1105.61
CT0000003,PR000007,C00411,12,2025-04-30,1105.61
CT0000003,PR000007,C00411,13,2025-05-30,1105.61
CT0000003,PR000007,C00411,14,2025-06-30,1105.61
CT0000003,PR000007,C00411,15,2025-07-30,1105.61
CT0000003,PR000007,C00411,16,2025-08-30,1105.61
CT0000003,PR000007,C00411,17,2025-09-30,1105.61
CT0000003,PR000007,C00411,18,2025-10-30,1105.61
CT0000003,PR000007,C00411,19,2025-11-30,1105.61
CT0000003,PR000007,C00411,20,2025-12-30,1105.61
CT0000003,PR000007,C00411,21,2026-01-30,1105.61
CT0000003,PR000007,C00411,22,2026-02-28,1105.61
CT0000003,PR000007,C00411,23,2026-03-30,1105.61
