payment_id,contract_id,installment_number,payment_date,paid_amount,status
PM00000001,CT0000001,1,2024-12-10,1431.88,paid
PM00000002,CT0000001,2,2025-01-10,1431.88,paid
PM00000003,CT0000001,3,2025-02-10,1431.88,paid
PM00000004,CT0000001,4,2025-03-10,1431.88,paid
PM00000005,CT0000001,5,2025-04-10,1431.88,paid
PM00000006,CT0000001,6,2025-05-10,1431.88,paid
PM00000007,CT0000001,7,2025-06-10,1431.88,paid
PM00000008,CT0000001,8,2025-07-10,1431.88,paid
PM00000009,CT0000001,9,2025-08-10,1431.88,paid
PM00000010,CT0000001,10,,0.0,missed
PM00000011,CT0000001,11,2025-10-10,1431.88,paid
PM00000012,CT0000001,12,2025-11-10,1431.88,paid
PM00000013,CT0000002,1,2024-09-26,294.19,paid
PM00000014,CT0000002,2,2024-10-26,294.19,paid
PM00000015,CT0000002,3,2024-11-26,294.19,paid
PM00000016,CT0000002,4,2024-12-26,294.19,paid
PM00000017,CT0000002,5,2025-01-26,294.19,paid
PM00000018,CT0000002,6,2025-02-26,294.19,paid
PM00000019,CT0000002,7,2025-03-26,294.19,paid
PM00000020,CT0000002,8,2025-04-26,294.19,paid
PM00000021,CT0000002,9,2025-05-26,294.19,paid
PM00000022,CT0000002,10,2025-06-26,294.19,paid
PM00000023,CT0000002,11,2025-07-26,294.19,paid
PM00000024,CT0000002,12,2025-08-26,294.19,paid
PM00000025,CT0000002,13,2025-09-26,294.19,paid
PM00000026,CT0000002,14,2025-10-26,294.19,paid
PM00000027,CT0000002,15,2025-11-26,294.19,paid
PM00000028,CT0000002,16,2025-12-26,294.19,paid
PM00000029,CT0000002,17,2026-01-26,294.19,paid
PM00000030,CT0000002,18,2026-02-26,294.19,paid
PM00000031,CT0000002,19,2026-03-26,294.19,paid
PM00000032,CT0000002,20,2026-04-26,294.19,paid
PM00000033,CT0000002,21,2026-05-26,294.19,paid
PM00000034,CT0000002,22,,0.0,missed
PM00000035,CT0000002,23,2026-07-26,294.19,paid
PM00000036,CT0000002,24,2026-08-26,294.19,paid
PM00000037,CT0000002,25,2026-09-26,294.19,paid
PM00000038,CT0000002,26,2026-10-26,294.19,paid
PM00000039,CT0000002,27,2026-11-26,294.19,paid
PM00000040,CT0000002,28,,0.0,missed
PM00000041,CT0000002,29,2027-01-26,294.19,paid
PM00000042,CT0000002,30,2027-02-26,294.19,paid
PM00000043,CT0000002,31,2027-03-26,294.19,paid
PM00000044,CT0000002,32,2027-04-26,294.19,paid
PM00000045,CT0000002,33,2027-05-26,294.19,paid
PM00000046,CT0000002,34,2027-06-26,294.19,paid
PM00000047,CT0000002,35,2027-07-26,294.19,paid
PM00000048,CT0000002,36,2027-08-26,294.19,paid
PM00000049,CT0000003,1,2024-05-30,1105.61,paid
PM00000050,CT0000003,2,,0.0,missed
PM00000051,CT0000003,3,2024-07-30,1105.61,paid
PM00000052,CT0000003,4,2024-08-30,1105.61,paid
PM00000053,CT0000003,5,2024-09-30,1105.61,paid
PM00000054,CT0000003,6,2024-10-30,1105.61,paid
PM00000055,CT0000003,7,2024-11-30,1105.61,paid
PM00000056,CT0000003,8,2024-12-30,1105.61,paid
PM00000057,CT0000003,9,2025-01-30,1105.61,paid
PM00000058,CT0000003,10,2025-02-28,1105.61,paid
PM00000059,CT0000003,11,2025-03-30,1105.61,paid
PM00000060,CT0000003,12,2025-04-30,1105.61,paid
PM00000061,CT0000003,13,2025-05-30,1105.61,paid
PM00000062,CT0000003,14,2025-06-30,1105.61,paid
PM00000063,CT0000003,15,2025-07-30,1105.61,paid
PM00000064,CT0000003,16,,0.0,missed
PM00000065,CT0000003,17,2025-09-30,1105.61,paid
PM00000066,CT0000003,18,2025-10-30,1105.61,paid
PM00000067,CT0000003,19,2025-11-30,1105.61,paid
PM00000068,CT0000003,20,2025-12-30,1105.61,paid
PM00000069,CT0000003,21,2026-01-30,1105.61,paid
PM00000070,CT0000003,22,2026-02-28,1105.61,paid
PM00000071,CT0000003,23,2026-03-30,1105.61,paid
PM00000072,CT0000003,24,2026-04-30,1105.61,paid
PM00000073,CT0000004,1,2025-10-16,344.69,paid
PM00000074,CT0000004,2,2025-11-16,344.69,paid
PM00000075,CT0000004,3,2025-12-16,344.69,paid
PM00000076,CT0000004,4,,0.0,missed
PM00000077,CT0000004,5,,0.0,missed
PM00000078,CT0000004,6,2026-03-16,344.69,paid
PM00000079,CT0000004,7,2026-04-16,344.69,paid
PM00000080,CT0000004,8,2026-05-16,344.69,paid
PM00000081,CT0000004,9,2026-06-16,344.69,paid
PM00000082,CT0000004,10,2026-07-16,344.69,paid
PM00000083,CT0000004,11,2026-08-16,344.69,paid
PM00000084,CT0000004,12,2026-09-16,344.69,paid
PM00000085,CT0000004,13,2026-10-16,344.69,paid
PM00000086,CT0000004,14,2026-11-16,344.69,paid
PM00000087,CT0000004,15,2026-12-16,344.69,paid
PM00000088,CT0000004,16,,0.0,missed
PM00000089,CT0000004,17,2027-02-16,344.69,paid
PM00000090,CT0000004,18,2027-03-16,344.69,paid
PM00000091,CT0000004,19,2027-04-16,344.69,paid
PM00000092,CT0000004,20,2027-05-16,344.69,paid
PM00000093,CT0000004,21,2027-06-16,344.69,paid
PM00000094,CT0000004,22,2027-07-16,344.69,paid
PM00000095,CT0000004,23,2027-08-16,344.69,paid
PM00000096,CT0000004,24,2027-09-16,344.69,paid
PM00000097,CT0000005,1,2025-06-01,2350.68,paid
PM00000098,CT0000005,2,2025-07-01,2350.68,paid
PM00000099,CT0000005,3,2025-08-01,2350.68,paid
PM00000100,CT0000005,4,2025-09-01,2350.68,paid
PM00000101,CT0000005,5,2025-10-01,2350.68,paid
PM00000102,CT0000005,6,2025-11-01,2350.68,paid
PM00000103,CT0000005,7,2025-12-01,2350.68,paid
PM00000104,CT0000005,8,2026-01-01,2350.68,paid
PM00000105,CT0000005,9,2026-02-01,2350.68,paid
PM00000106,CT0000005,10,2026-03-01,2350.68,paid
PM00000107,CT0000005,11,2026-04-01,2350.68,paid
PM00000108,CT0000005,12,2026-05-01,2350.68,paid
PM00000109,CT0000006,1,2025-09-17,982.65,paid
PM00000110,CT0000006,2,2025-10-17,982.65,paid
PM00000111,CT0000006,3,2025-11-17,982.65,paid
PM00000112,CT0000006,4,2025-12-17,982.65,paid
PM00000113,CT0000006,5,,0.0,missed
PM00000114,CT0000006,6,2026-02-17,982.65,paid
PM00000115,CT0000006,7,2026-03-17,982.65,paid
PM00000116,CT0000006,8,2026-04-17,982.65,paid
PM00000117,CT0000006,9,2026-05-17,982.65,paid
PM00000118,CT0000006,10,,0.0,missed
PM00000119,CT0000006,11,2026-07-17,982.65,paid
PM00000120,CT0000006,12,2026-08-17,982.65,paid
PM00000121,CT0000006,13,2026-09-17,982.65,paid
PM00000122,CT0000006,14,2026-10-17,982.65,paid
PM00000123,CT0000006,15,2026-11-17,982.65,paid
PM00000124,CT0000006,16,2026-12-17,982.65,paid
PM00000125,CT0000006,17,2027-01-17,982.65,paid
PM00000126,CT0000006,18,2027-02-17,982.65,paid
PM00000127,CT0000006,19,2027-03-17,982.65,paid
PM00000128,CT0000006,20,2027-04-17,982.65,paid
PM00000129,CT0000006,21,2027-05-17,982.65,paid
PM00000130,CT0000006,22,2027-06-17,982.65,paid
PM00000131,CT0000006,23,2027-07-17,982.65,paid
PM00000132,CT0000006,24,2027-08-17,982.65,paid
PM00000133,CT0000006,25,2027-09-17,982.65,paid
PM00000134,CT0000006,26,2027-10-17,982.65,paid
PM00000135,CT0000006,27,2027-11-17,982.65,paid
PM00000136,CT0000006,28,2027-12-17,982.65,paid
PM00000137,CT0000006,29,2028-01-17,982.65,paid
PM00000138,CT0000006,30,2028-02-17,982.65,paid
PM00000139,CT0000006,31,2028-03-17,982.65,paid
PM00000140,CT0000006,32,2028-04-17,982.65,paid
PM00000141,CT0000006,33,2028-05-17,982.65,paid
PM00000142,CT0000006,34,,0.0,missed
PM00000143,CT0000006,35,2028-07-17,982.65,paid
PM00000144,CT0000006,36,2028-08-17,982.65,paid
PM00000145,CT0000007,1,2024-11-13,76.49,paid
PM00000146,CT0000007,2,2024-12-13,76.49,paid
PM00000147,CT0000007,3,2025-01-13,76.49,paid
PM00000148,CT0000007,4,2025-02-13,76.49,paid
PM00000149,CT0000007,5,2025-03-13,76.49,paid
PM00000150,CT0000007,6,2025-04-13,76.49,paid
PM00000151,CT0000007,7,2025-05-13,76.49,paid
PM00000152,CT0000007,8,2025-06-13,76.49,paid
PM00000153,CT0000007,9,2025-07-13,76.49,paid
PM00000154,CT0000007,10,,0.0,missed
PM00000155,CT0000007,11,,0.0,missed
PM00000156,CT0000007,12,2025-10-13,76.49,paid
PM00000157,CT0000007,13,2025-11-13,76.49,paid
PM00000158,CT0000007,14,2025-12-13,76.49,paid
PM00000159,CT0000007,15,2026-01-13,76.49,paid
PM00000160,CT0000007,16,2026-02-13,76.49,paid
PM00000161,CT0000007,17,2026-03-13,76.49,paid
PM00000162,CT0000007,18,2026-04-13,76.49,paid
PM00000163,CT0000007,19,2026-05-13,76.49,paid
